"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","28","runLoginTestCase","Automation Suite","2026-05-26","skipped","2026-05-26","runner.TestRunner","Test Execution","runner.TestRunner","runLoginTestCase"
"","21","runLoginTestCase","Automation Suite","2026-05-26","skipped","2026-05-26","runner.TestRunner","Test Execution","runner.TestRunner","runLoginTestCase"
"","21","runLoginTestCase","Automation Suite","2026-05-26","skipped","2026-05-26","runner.TestRunner","Test Execution","runner.TestRunner","runLoginTestCase"
"","36","runLoginTestCase","Automation Suite","2026-05-26","skipped","2026-05-26","runner.TestRunner","Test Execution","runner.TestRunner","runLoginTestCase"
"","49","runLoginTestCase","Automation Suite","2026-05-26","skipped","2026-05-26","runner.TestRunner","Test Execution","runner.TestRunner","runLoginTestCase"
"","34","runLoginTestCase","Automation Suite","2026-05-26","skipped","2026-05-26","runner.TestRunner","Test Execution","runner.TestRunner","runLoginTestCase"
"","23","runLoginTestCase","Automation Suite","2026-05-26","skipped","2026-05-26","runner.TestRunner","Test Execution","runner.TestRunner","runLoginTestCase"
"","26","runLoginTestCase","Automation Suite","2026-05-26","skipped","2026-05-26","runner.TestRunner","Test Execution","runner.TestRunner","runLoginTestCase"
"","5","runLoginTestCase","Default Suite","2026-05-25","broken","2026-05-25","runner.TestRunner","advanced_selenium_framework","runner.TestRunner","runLoginTestCase"
"","22","runLoginTestCase","Automation Suite","2026-05-26","skipped","2026-05-26","runner.TestRunner","Test Execution","runner.TestRunner","runLoginTestCase"
"","83932","runLoginTestCase","Automation Suite","2026-05-26","broken","2026-05-26","runner.TestRunner","Test Execution","runner.TestRunner","runLoginTestCase"
"","26","runLoginTestCase","Automation Suite","2026-05-26","skipped","2026-05-26","runner.TestRunner","Test Execution","runner.TestRunner","runLoginTestCase"
"","29","runLoginTestCase","Automation Suite","2026-05-26","skipped","2026-05-26","runner.TestRunner","Test Execution","runner.TestRunner","runLoginTestCase"
"","28","runLoginTestCase","Automation Suite","2026-05-26","skipped","2026-05-26","runner.TestRunner","Test Execution","runner.TestRunner","runLoginTestCase"
"","20","runLoginTestCase","Automation Suite","2026-05-26","skipped","2026-05-26","runner.TestRunner","Test Execution","runner.TestRunner","runLoginTestCase"
"","26","runLoginTestCase","Automation Suite","2026-05-26","skipped","2026-05-26","runner.TestRunner","Test Execution","runner.TestRunner","runLoginTestCase"
"","24","runLoginTestCase","Automation Suite","2026-05-26","skipped","2026-05-26","runner.TestRunner","Test Execution","runner.TestRunner","runLoginTestCase"
"","10","runAllTestCases","Default Suite","2026-05-25","broken","2026-05-25","runner.TestRunner","advanced_selenium_framework","runner.TestRunner","runAllTestCases"
"","22","runLoginTestCase","Automation Suite","2026-05-26","skipped","2026-05-26","runner.TestRunner","Test Execution","runner.TestRunner","runLoginTestCase"
"","22","runLoginTestCase","Automation Suite","2026-05-26","skipped","2026-05-26","runner.TestRunner","Test Execution","runner.TestRunner","runLoginTestCase"
"","19","runLoginTestCase","Automation Suite","2026-05-26","skipped","2026-05-26","runner.TestRunner","Test Execution","runner.TestRunner","runLoginTestCase"
"","39","runLoginTestCase","Automation Suite","2026-05-26","skipped","2026-05-26","runner.TestRunner","Test Execution","runner.TestRunner","runLoginTestCase"
"","19","runLoginTestCase","Automation Suite","2026-05-26","skipped","2026-05-26","runner.TestRunner","Test Execution","runner.TestRunner","runLoginTestCase"
"","43","runLoginTestCase","Automation Suite","2026-05-26","skipped","2026-05-26","runner.TestRunner","Test Execution","runner.TestRunner","runLoginTestCase"
"","46","runLoginTestCase","Automation Suite","2026-05-26","skipped","2026-05-26","runner.TestRunner","Test Execution","runner.TestRunner","runLoginTestCase"
"","27","runLoginTestCase","Automation Suite","2026-05-26","skipped","2026-05-26","runner.TestRunner","Test Execution","runner.TestRunner","runLoginTestCase"
"","25","runLoginTestCase","Automation Suite","2026-05-26","skipped","2026-05-26","runner.TestRunner","Test Execution","runner.TestRunner","runLoginTestCase"
"","66","runLoginTestCase","Automation Suite","2026-05-26","skipped","2026-05-26","runner.TestRunner","Test Execution","runner.TestRunner","runLoginTestCase"
"","28","runLoginTestCase","Automation Suite","2026-05-26","skipped","2026-05-26","runner.TestRunner","Test Execution","runner.TestRunner","runLoginTestCase"
